setting_id,planted_redundancy_factor,RR_mean,RR_ci,SSS_mean,SSS_ci,CC_mean,CC_ci,non_identifiability_rate
setting_COMPARE_1_4,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_INDUCTION_1_8,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_XOR_1_0,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_COMPARE_2_5,2,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_INDUCTION_2_9,2,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_XOR_2_1,2,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_COMPARE_4_6,4,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.8000000000000002,"[0.8000000000000002,0.8000000000000002]",1.0
setting_INDUCTION_4_10,4,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.8000000000000002,"[0.8000000000000002,0.8000000000000002]",1.0
setting_XOR_4_2,4,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0,"[1.0,1.0]",0.8000000000000002,"[0.8000000000000002,0.8000000000000002]",1.0
setting_COMPARE_8_7,8,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",0.8222222222222223,"[0.4666666666666666,1.0]",0.8407407407407407,"[0.8000000000000002,0.8888888888888888]",1.0
setting_INDUCTION_8_11,8,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",0.8666666666666667,"[0.6,1.0]",0.8407407407407407,"[0.8000000000000002,0.8888888888888888]",1.0
setting_XOR_8_3,8,0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",0.8444444444444444,"[0.5333333333333333,1.0]",0.8407407407407407,"[0.8000000000000002,0.8888888888888888]",1.0
